provinsi,komoditas,golongan_pengeluaran,konsumsi_perkapita_per_minggu,jumlah_penduduk,persentase_kemiskinan,tingkat_pengangguran,akses_pendidikan,fasilitas_kesehatan,akses_air_bersih,kategori_kemiskinan
Sumatera Selatan,"Soto, gule, sop, rawon, cincang",300 000- 499 999.9,0.008,3228,5.19,3.79,baik,memadai,tidak,rendah
Sumatera Selatan,"Soto, gule, sop, rawon, cincang",500 000- 749 999.9,0.033,2795,19.31,11.6,buruk,tidak memadai,ya,sedang
Sumatera Selatan,"Soto, gule, sop, rawon, cincang",750 000- 999 999.9,0.052,3167,29.22,15.35,buruk,memadai,ya,tinggi
Sumatera Barat,"Soto, gule, sop, rawon, cincang",1 000 000- 1 499 999.9,0.08,2299,17.1,3.74,sedang,tidak memadai,ya,sedang
Sumatera Selatan,"Soto, gule, sop, rawon, cincang",> 1 500 000.9,0.323,1999,10.32,15.96,sedang,memadai,tidak,tinggi
Sumatera Selatan,"Soto, gule, sop, rawon, cincang",300 000- 499 999.10,4.0,1484,16.58,7.79,baik,memadai,ya,sedang
Sumatera Selatan,"Soto, gule, sop, rawon, cincang",500 000- 749 999.10,0.006,4053,20.05,13.01,sedang,memadai,ya,sedang
Sumatera Barat,"Soto, gule, sop, rawon, cincang",750 000- 999 999.10,0.017,2864,25.03,19.43,buruk,memadai,ya,tinggi
Sumatera Barat,"Soto, gule, sop, rawon, cincang",1 000 000- 1 499 999.10,0.031,3805,16.32,19.91,sedang,memadai,ya,tinggi
Sumatera Utara,"Soto, gule, sop, rawon, cincang",> 1 500 000.10,0.094,2715,9.32,13.78,baik,memadai,ya,rendah
Sumatera Utara,"Soto, gule, sop, rawon, cincang",300 000- 499 999.11,0.003,3290,9.7,11.36,buruk,memadai,tidak,rendah
Sumatera Barat,"Soto, gule, sop, rawon, cincang",500 000- 749 999.11,0.017,625,27.49,6.02,sedang,memadai,ya,tinggi
Sumatera Barat,"Soto, gule, sop, rawon, cincang",750 000- 999 999.11,0.032,3120,10.91,6.54,buruk,memadai,ya,rendah
Sumatera Barat,"Soto, gule, sop, rawon, cincang",1 000 000- 1 499 999.11,0.054,4715,23.2,10.3,baik,memadai,ya,sedang
Sumatera Utara,"Soto, gule, sop, rawon, cincang",> 1 500 000.11,0.249,1951,11.72,14.94,baik,tidak memadai,ya,rendah
Sumatera Utara,"Soto, gule, sop, rawon, cincang",300 000- 499 999.12,0.024,1508,23.01,16.08,baik,tidak memadai,ya,tinggi
Sumatera Barat,"Soto, gule, sop, rawon, cincang",500 000- 749 999.12,0.012,1713,6.96,6.77,baik,memadai,ya,rendah
Sumatera Selatan,"Soto, gule, sop, rawon, cincang",750 000- 999 999.12,0.044,4204,10.18,12.1,baik,tidak memadai,tidak,rendah
Sumatera Utara,"Soto, gule, sop, rawon, cincang",1 000 000- 1 499 999.12,0.056,3630,15.22,13.06,baik,memadai,tidak,sedang
Sumatera Barat,"Soto, gule, sop, rawon, cincang",> 1 500 000.12,0.167,1196,17.88,18.18,sedang,memadai,tidak,tinggi
Sumatera Selatan,"Soto, gule, sop, rawon, cincang",300 000- 499 999.13,0.018,2770,13.82,17.9,buruk,memadai,ya,tinggi
Sumatera Selatan,"Soto, gule, sop, rawon, cincang",500 000- 749 999.13,0.015,2015,19.34,16.9,baik,memadai,ya,tinggi
Sumatera Barat,"Soto, gule, sop, rawon, cincang",750 000- 999 999.13,0.022,1534,13.13,11.78,baik,tidak memadai,ya,rendah
Sumatera Utara,"Soto, gule, sop, rawon, cincang",1 000 000- 1 499 999.13,0.045,3340,21.96,4.11,baik,memadai,ya,sedang
Sumatera Selatan,"Soto, gule, sop, rawon, cincang",> 1 500 000.13,0.088,2035,17.78,8.69,baik,memadai,ya,sedang
Sumatera Utara,"Soto, gule, sop, rawon, cincang",300 000- 499 999.14,0.02,1313,22.63,13.57,buruk,memadai,ya,sedang
Sumatera Barat,"Soto, gule, sop, rawon, cincang",500 000- 749 999.14,0.013,809,15.77,13.84,baik,tidak memadai,ya,sedang
Sumatera Selatan,"Soto, gule, sop, rawon, cincang",750 000- 999 999.14,0.032,1511,26.91,17.43,baik,memadai,ya,tinggi
Sumatera Utara,"Soto, gule, sop, rawon, cincang",1 000 000- 1 499 999.14,0.05,1518,14.55,9.45,buruk,tidak memadai,ya,rendah
Sumatera Utara,"Soto, gule, sop, rawon, cincang",> 1 500 000.14,0.139,3911,12.7,18.92,buruk,tidak memadai,ya,tinggi
Sumatera Barat,"Soto, gule, sop, rawon, cincang",300 000- 499 999.15,0.004,4218,18.93,5.77,sedang,memadai,ya,sedang
Sumatera Utara,"Soto, gule, sop, rawon, cincang",500 000- 749 999.15,0.022,4310,17.73,3.85,baik,memadai,ya,sedang
Sumatera Selatan,"Soto, gule, sop, rawon, cincang",750 000- 999 999.15,0.063,2544,17.95,6.0,buruk,memadai,tidak,sedang
Sumatera Selatan,"Soto, gule, sop, rawon, cincang",1 000 000- 1 499 999.15,0.085,1616,24.9,10.86,sedang,memadai,ya,sedang
Sumatera Utara,"Soto, gule, sop, rawon, cincang",> 1 500 000.15,0.153,1656,19.71,16.99,sedang,tidak memadai,ya,tinggi
Sumatera Selatan,"Soto, gule, sop, rawon, cincang",300 000- 499 999.16,0.027,1488,27.13,5.62,sedang,memadai,tidak,tinggi
Sumatera Selatan,"Soto, gule, sop, rawon, cincang",500 000- 749 999.16,0.016,2966,20.48,12.32,sedang,memadai,ya,sedang
Sumatera Barat,"Soto, gule, sop, rawon, cincang",750 000- 999 999.16,0.034,2328,5.54,16.2,buruk,memadai,tidak,tinggi
Sumatera Barat,"Soto, gule, sop, rawon, cincang",1 000 000- 1 499 999.16,0.022,2577,26.76,3.59,baik,tidak memadai,ya,tinggi
Sumatera Barat,"Soto, gule, sop, rawon, cincang",> 1 500 000.16,0.069,2845,25.99,3.71,baik,tidak memadai,ya,tinggi
Sumatera Selatan,"Soto, gule, sop, rawon, cincang",300 000- 499 999.17,0.018,1584,6.22,11.34,sedang,memadai,ya,rendah
Sumatera Selatan,"Soto, gule, sop, rawon, cincang",500 000- 749 999.17,0.018,3005,8.13,6.1,buruk,memadai,ya,rendah
Sumatera Barat,"Soto, gule, sop, rawon, cincang",750 000- 999 999.17,0.046,4544,18.91,10.66,baik,memadai,ya,sedang
Sumatera Barat,"Soto, gule, sop, rawon, cincang",1 000 000- 1 499 999.17,0.052,2851,6.07,3.75,sedang,tidak memadai,ya,rendah
Sumatera Selatan,"Soto, gule, sop, rawon, cincang",> 1 500 000.17,0.124,3505,15.28,19.61,sedang,tidak memadai,ya,tinggi
Sumatera Barat,"Soto, gule, sop, rawon, cincang",500 000- 749 999.18,0.019,4935,29.38,14.12,buruk,memadai,ya,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.18,0.033,2995,9.32,14.67,sedang,tidak memadai,ya,rendah
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.18,0.055,576,10.15,11.67,baik,memadai,tidak,rendah
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.18,0.222,3062,21.91,17.02,sedang,memadai,ya,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.19,2.59,2072,6.1,17.17,baik,memadai,ya,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.19,0.011,4687,25.52,5.7,sedang,tidak memadai,ya,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.19,0.027,4170,9.98,16.06,baik,tidak memadai,ya,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.19,0.044,3611,18.29,12.63,sedang,tidak memadai,ya,sedang
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.19,0.112,3237,11.22,15.96,buruk,memadai,tidak,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.20,2.18,1852,21.47,18.62,sedang,memadai,ya,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.20,0.014,1446,19.68,8.7,sedang,memadai,ya,sedang
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.20,0.03,4368,28.66,12.71,baik,memadai,ya,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.20,0.05,3637,16.14,16.39,sedang,memadai,tidak,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.20,0.184,3986,26.87,19.78,baik,memadai,tidak,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",200 000- 299 999,0.049,4687,19.4,13.41,baik,memadai,ya,sedang
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999,0.146,1502,27.86,15.26,sedang,memadai,ya,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999,0.221,4963,12.3,17.39,sedang,memadai,ya,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999,0.271,1319,18.74,15.77,buruk,tidak memadai,ya,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999,0.332,922,14.75,19.02,sedang,memadai,ya,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000,0.444,1071,6.65,6.91,baik,memadai,tidak,rendah
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.1,0.054,3409,19.36,18.43,sedang,memadai,tidak,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.1,0.096,1923,24.86,6.52,baik,tidak memadai,ya,sedang
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.1,0.128,2133,18.91,12.61,buruk,memadai,tidak,sedang
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.1,0.204,2253,11.98,11.89,baik,tidak memadai,ya,rendah
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.1,0.252,967,11.6,17.13,sedang,memadai,tidak,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",200 000- 299 999.2,0.009,3422,10.95,9.78,baik,memadai,ya,rendah
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.2,0.078,2803,29.49,5.43,sedang,tidak memadai,ya,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.2,0.141,2206,14.98,15.02,sedang,memadai,tidak,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.2,0.183,572,12.92,13.31,buruk,memadai,tidak,rendah
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.2,0.262,646,15.46,17.06,baik,tidak memadai,ya,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.2,0.382,816,7.89,15.9,baik,memadai,ya,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",200 000- 299 999.3,0.247,1105,9.9,18.21,buruk,memadai,tidak,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.3,0.131,1074,17.72,17.26,buruk,tidak memadai,tidak,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.3,0.218,1677,24.97,14.66,baik,memadai,ya,sedang
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.3,0.255,3826,26.91,10.92,buruk,memadai,ya,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.3,0.347,3922,26.65,3.35,baik,tidak memadai,ya,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.3,0.437,3094,28.62,8.23,sedang,memadai,ya,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",200 000- 299 999.4,0.041,3382,8.14,15.37,sedang,tidak memadai,tidak,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.4,0.054,811,6.02,4.01,buruk,memadai,ya,rendah
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.4,0.091,3355,7.64,15.86,baik,tidak memadai,ya,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.4,0.141,1264,20.02,11.78,baik,memadai,tidak,sedang
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.4,0.18,3495,18.9,17.75,sedang,memadai,tidak,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.4,0.272,3700,21.78,14.22,baik,tidak memadai,ya,sedang
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",200 000- 299 999.5,0.104,935,14.28,16.57,sedang,memadai,ya,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.5,0.077,3851,14.79,5.92,sedang,memadai,ya,rendah
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.5,0.132,4953,18.64,5.94,buruk,memadai,ya,sedang
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.5,0.188,3477,6.98,6.59,baik,memadai,ya,rendah
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.5,0.264,3430,25.0,8.67,baik,memadai,ya,sedang
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.5,0.39,2799,28.07,18.38,sedang,memadai,ya,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",200 000- 299 999.6,0.298,634,14.68,16.16,sedang,memadai,ya,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.6,0.168,4414,23.49,9.2,sedang,tidak memadai,tidak,sedang
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.6,0.228,1303,18.72,18.61,sedang,memadai,ya,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.6,0.303,3207,10.9,16.24,sedang,memadai,ya,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.6,0.337,2866,6.69,14.15,sedang,tidak memadai,ya,rendah
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.6,0.469,4675,11.15,10.42,sedang,tidak memadai,ya,rendah
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",200 000- 299 999.7,0.02,3762,20.12,14.08,sedang,tidak memadai,tidak,sedang
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.7,0.056,1976,6.01,13.08,sedang,tidak memadai,ya,rendah
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.7,0.113,3915,25.9,16.29,sedang,tidak memadai,tidak,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.7,0.155,2961,29.26,6.83,baik,memadai,tidak,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.7,0.217,4442,7.09,18.05,sedang,memadai,ya,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.7,0.29,2540,11.17,13.06,buruk,memadai,ya,rendah
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",200 000- 299 999.8,0.127,4963,21.89,16.71,baik,tidak memadai,ya,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.8,0.088,1506,25.15,8.9,baik,tidak memadai,ya,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.8,0.151,1492,13.65,9.66,baik,tidak memadai,ya,rendah
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.8,0.217,2396,17.88,18.93,baik,memadai,ya,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.8,0.273,3565,27.29,13.57,sedang,tidak memadai,ya,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.8,0.413,3248,14.61,8.4,baik,tidak memadai,ya,rendah
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.9,0.118,3161,7.04,4.4,buruk,tidak memadai,ya,rendah
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.9,0.229,3478,29.87,10.38,baik,memadai,ya,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.9,0.281,2323,9.51,17.43,buruk,memadai,ya,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.9,0.327,3907,6.22,7.27,baik,tidak memadai,tidak,rendah
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.9,0.479,4982,15.27,17.62,sedang,tidak memadai,ya,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",200 000- 299 999.10,0.29,2248,8.04,5.75,baik,tidak memadai,ya,rendah
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.10,0.066,3161,29.47,5.21,buruk,memadai,tidak,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.10,0.13,518,14.52,13.3,sedang,tidak memadai,ya,rendah
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.10,0.164,3858,25.65,16.68,baik,memadai,ya,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.10,0.171,775,9.42,16.26,baik,memadai,tidak,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.10,0.281,4578,8.47,12.24,baik,memadai,tidak,rendah
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",200 000- 299 999.11,0.212,3445,21.23,13.86,baik,memadai,tidak,sedang
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.11,0.085,864,27.73,7.39,baik,tidak memadai,ya,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.11,0.169,2473,7.86,12.37,baik,tidak memadai,ya,rendah
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.11,0.213,1294,19.73,6.53,buruk,tidak memadai,ya,sedang
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.11,0.245,1089,7.12,18.78,buruk,memadai,ya,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.11,0.415,4794,25.3,14.53,sedang,tidak memadai,ya,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",200 000- 299 999.12,0.5,4813,27.73,12.6,buruk,memadai,ya,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.12,0.172,1240,20.72,7.2,baik,memadai,tidak,sedang
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.12,0.195,2694,22.21,9.95,baik,memadai,ya,sedang
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.12,0.252,1169,6.39,16.26,baik,memadai,tidak,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.12,0.309,1937,6.82,7.07,baik,tidak memadai,ya,rendah
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.12,0.455,1355,9.49,5.19,buruk,tidak memadai,tidak,rendah
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.13,0.098,2877,11.85,8.23,sedang,tidak memadai,tidak,rendah
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.13,0.111,4533,24.0,16.51,baik,tidak memadai,ya,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.13,0.154,2393,15.89,18.01,sedang,tidak memadai,tidak,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.13,0.211,1686,6.96,10.04,baik,tidak memadai,ya,rendah
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.13,0.306,2342,26.32,16.28,baik,memadai,ya,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",200 000- 299 999.14,0.108,826,29.85,8.65,baik,memadai,ya,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.14,0.122,3726,16.38,11.65,sedang,tidak memadai,ya,sedang
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.14,0.142,2900,17.79,3.34,sedang,memadai,ya,sedang
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.14,0.197,4778,6.96,15.1,baik,tidak memadai,ya,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.14,0.258,4601,14.58,15.22,sedang,tidak memadai,ya,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.14,0.401,4515,14.3,4.7,sedang,memadai,ya,rendah
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.15,0.09,4806,29.14,9.1,sedang,memadai,ya,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.15,0.169,550,21.51,11.22,sedang,tidak memadai,tidak,sedang
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.15,0.232,1968,24.55,16.16,baik,memadai,tidak,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.15,0.312,1509,8.21,17.0,baik,tidak memadai,ya,tinggi
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.15,0.422,4972,15.42,15.23,buruk,memadai,tidak,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.16,0.054,4057,9.79,6.67,buruk,memadai,tidak,rendah
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.16,0.122,1574,26.5,9.06,sedang,tidak memadai,tidak,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.16,0.141,653,8.81,7.2,sedang,memadai,ya,rendah
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.16,0.197,1081,15.97,13.83,sedang,tidak memadai,tidak,sedang
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.16,0.244,1287,6.34,14.0,sedang,tidak memadai,ya,rendah
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.17,0.068,3881,20.86,3.27,sedang,memadai,tidak,sedang
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.17,0.14,2767,17.05,15.44,baik,memadai,tidak,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.17,0.177,4758,17.45,6.9,buruk,tidak memadai,tidak,sedang
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.17,0.253,1470,7.54,16.62,sedang,memadai,tidak,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.17,0.36,1147,17.85,17.16,buruk,memadai,tidak,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.18,0.007,1445,19.09,16.55,buruk,memadai,ya,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",500 000- 749 999.18,0.193,1995,29.07,9.94,sedang,memadai,ya,tinggi
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",750 000- 999 999.18,0.274,2547,5.83,8.92,sedang,tidak memadai,ya,rendah
Sumatera Utara,"Sayur matang (ditumis, disantan, dsb)",1 000 000- 1 499 999.18,0.342,1672,28.07,10.4,buruk,memadai,ya,tinggi
Sumatera Barat,"Sayur matang (ditumis, disantan, dsb)",> 1 500 000.18,0.471,4718,16.99,11.96,sedang,tidak memadai,ya,sedang
Sumatera Selatan,"Sayur matang (ditumis, disantan, dsb)",300 000- 499 999.19,0.091,3386,10.25,7.25,sedang,tidak memadai,tidak,rendah
Sumatera Barat,"Sate, tongseng",500 000- 749 999.19,0.149,4658,21.64,18.84,sedang,memadai,ya,tinggi
Sumatera Utara,"Sate, tongseng",750 000- 999 999.19,0.142,1232,17.93,11.57,buruk,tidak memadai,ya,sedang
Sumatera Barat,"Sate, tongseng",1 000 000- 1 499 999.19,0.197,3587,10.67,4.24,sedang,memadai,ya,rendah
Sumatera Barat,"Sate, tongseng",> 1 500 000.19,0.304,3961,20.67,19.95,sedang,memadai,tidak,tinggi
Sumatera Utara,"Sate, tongseng",300 000- 499 999.20,0.062,2157,16.83,11.23,baik,tidak memadai,ya,sedang
Sumatera Barat,"Sate, tongseng",500 000- 749 999.20,0.164,978,22.23,19.1,sedang,tidak memadai,ya,tinggi
Sumatera Barat,"Sate, tongseng",750 000- 999 999.20,0.194,1637,22.23,9.63,baik,memadai,tidak,sedang
Sumatera Selatan,"Sate, tongseng",1 000 000- 1 499 999.20,0.268,4453,16.82,6.82,baik,tidak memadai,ya,sedang
Sumatera Selatan,"Sate, tongseng",> 1 500 000.20,0.413,1476,14.77,15.53,sedang,memadai,ya,tinggi
Sumatera Utara,"Sate, tongseng",200 000- 299 999,0.311,736,6.58,10.35,baik,tidak memadai,ya,rendah
Sumatera Barat,"Sate, tongseng",300 000- 499 999,0.188,3023,17.35,17.98,buruk,tidak memadai,ya,tinggi
Sumatera Utara,"Sate, tongseng",500 000- 749 999,0.388,4543,11.08,10.9,sedang,memadai,ya,rendah
Sumatera Barat,"Sate, tongseng",750 000- 999 999,0.445,1097,6.33,8.75,sedang,memadai,ya,rendah
Sumatera Barat,"Sate, tongseng",1 000 000- 1 499 999,0.414,2202,13.26,19.43,baik,memadai,ya,tinggi
Sumatera Barat,"Sate, tongseng",> 1 500 000,0.405,2676,7.19,17.12,sedang,tidak memadai,ya,tinggi
Sumatera Barat,"Sate, tongseng",200 000- 299 999.1,0.052,3057,19.49,6.5,baik,memadai,tidak,sedang
Sumatera Barat,"Sate, tongseng",300 000- 499 999.1,0.241,664,17.59,11.31,sedang,memadai,tidak,sedang
Sumatera Utara,"Sate, tongseng",500 000- 749 999.1,0.302,2824,24.81,4.93,baik,memadai,ya,sedang
Sumatera Selatan,"Sate, tongseng",750 000- 999 999.1,0.331,3539,11.69,4.83,sedang,memadai,ya,rendah
Sumatera Barat,"Sate, tongseng",1 000 000- 1 499 999.1,0.34,1069,14.29,17.51,buruk,tidak memadai,tidak,tinggi
Sumatera Utara,"Sate, tongseng",> 1 500 000.1,0.349,3828,22.22,18.84,sedang,memadai,ya,tinggi
Sumatera Selatan,"Sate, tongseng",200 000- 299 999.2,0.1,640,29.82,15.56,baik,memadai,ya,tinggi
Sumatera Selatan,"Sate, tongseng",300 000- 499 999.2,0.227,1185,27.6,19.82,baik,memadai,ya,tinggi
Sumatera Utara,"Sate, tongseng",500 000- 749 999.2,0.333,1186,18.02,3.77,sedang,memadai,ya,sedang
Sumatera Utara,"Sate, tongseng",750 000- 999 999.2,0.375,3780,21.95,8.64,baik,memadai,ya,sedang
Sumatera Barat,"Sate, tongseng",1 000 000- 1 499 999.2,0.373,3263,18.3,5.25,baik,memadai,ya,sedang
